SP_la, SP_lo, SP_time, SP_az, SP_gcarc, S_la, S_lo, S_time, S_az, S_gcarc 
48.2976989746 -95.8619003296 14.85 42.7237351489 102.574869367 38.1447792053 -122.880180359 18.55 41.4649648077 80.576473602
41.4082984924 -98.1501998901 17.15 48.6053510894 98.4825230393 34.8884811401 -119.813621521 9.25 45.6077476316 80.5137306837
47.1355018616 -97.0164031982 14.65 43.5454046217 101.42870271 34.1714096069 -118.18522644 18.05 46.9999850171 81.1735798293
48.470199585 -104.195899963 15.45 40.3071562415 97.5568572972 35.4077301025 -120.545562744 16.85 44.8205344984 80.34858898
43.7336997986 -96.6140975952 17.85 46.873057548 100.425362833 36.7640304565 -121.447219849 18.95 43.2802834389 80.6016649203
43.7336997986 -96.6140975952 17.85 46.873057548 100.425362833 34.4407615662 -119.714920044 26.05 46.0204125053 80.3111753216
45.8398017883 -96.2929000854 14.75 44.9643603973 101.417290117 33.9954299927 -119.635101318 17.85 46.4225490369 80.098704376
48.2976989746 -95.8619003296 14.05 42.7237351489 102.574869367 34.2388305664 -117.658531189 18.25 47.2018290797 81.567767579
41.4082984924 -98.1501998901 16.65 48.6053510894 98.4825230393 34.3334083557 -118.025848389 18.55 46.9450683151 81.3750980359
47.1355018616 -97.0164031982 22.75 43.5454046217 101.42870271 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
43.7336997986 -96.6140975952 17.25 46.873057548 100.425362833 33.6500091553 -117.009468079 18.45 48.0025057689 81.6704903645
43.7336997986 -96.6140975952 17.15 46.873057548 100.425362833 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
45.8398017883 -96.2929000854 22.95 44.9643603973 101.417290117 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
45.8618011475 -93.5241012573 15.25 45.6384764726 103.236257157 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
42.6228981018 -98.754699707 30.05 47.2961207357 98.552484315 32.891998291 -116.422302246 19.15 48.915143926 81.6444047859
42.6472015381 -92.7708969116 14.65 48.9355353955 102.662240942 34.8884811401 -119.813621521 9.25 45.6077476316 80.5137306837
41.9665985107 -96.3761978149 17.55 48.6051933919 99.9230487313 33.5999908447 -117.195426941 18.45 47.9538008402 81.5147519017
42.0628013611 -91.2218017578 30.05 49.8944206802 103.550929963 34.2236213684 -118.058319092 18.05 47.0193306353 81.2893998115
47.8480987549 -99.602897644 14.85 42.1901069186 100.082146352 34.1714096069 -118.18522644 18.05 46.9999850171 81.1735798293
40.7370986938 -97.4511032104 16.75 49.4406479258 98.704249771 33.7434616089 -118.404121399 19.05 47.2432709499 80.7763621501
40.7930984497 -93.2350006104 16.75 50.5954302804 101.698266168 34.4407615662 -119.714920044 26.05 46.0204125053 80.3111753216
40.707698822 -90.8552017212 15.55 51.3056622814 103.370214547 33.9954299927 -119.635101318 17.85 46.4225490369 80.098704376
39.6248016357 -93.5320968628 17.25 51.6291970114 101.073528573 33.457698822 -117.170799255 9.35 48.0834498403 81.4501301281
36.4137001038 -89.6996994019 30.05 55.7780201686 102.813660824 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
41.9068984985 -93.2153015137 30.05 49.5325469773 102.099209096 35.8408889771 -119.084686279 16.85 45.196338291 81.5593330296
48.2976989746 -95.8619003296 14.85 42.7237351489 102.574869367 34.3334083557 -118.025848389 18.55 46.9450683151 81.3750980359
48.3602981567 -93.7260971069 15.55 43.1623740092 103.935257006 33.4018974304 -118.415023804 19.55 47.5182835935 80.5696585594
47.1355018616 -97.0164031982 14.65 43.5454046217 101.42870271 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
46.6058006287 -91.5541992188 16.65 45.36778148 104.769759992 33.6500091553 -117.009468079 18.45 48.0025057689 81.6704903645
43.7336997986 -96.6140975952 17.85 46.873057548 100.425362833 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
43.7336997986 -96.6140975952 17.85 46.873057548 100.425362833 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
45.8398017883 -96.2929000854 14.75 44.9643603973 101.417290117 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
45.8618011475 -93.5241012573 22.75 45.6384764726 103.236257157 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
44.0149002075 -93.4002990723 16.75 47.4552275886 102.69489618 32.891998291 -116.422302246 19.15 48.915143926 81.6444047859
43.8916015625 -90.6176986694 17.85 48.2512014093 104.55333844 34.8884811401 -119.813621521 9.25 45.6077476316 80.5137306837
42.9141998291 -90.2481002808 30.05 49.2987330744 104.50442491 33.5999908447 -117.195426941 18.45 47.9538008402 81.5147519017
42.9141998291 -90.2481002808 17.85 49.2987330744 104.50442491 34.2236213684 -118.058319092 18.05 47.0193306353 81.2893998115
42.6472015381 -92.7708969116 23.05 48.9355353955 102.662240942 34.6144981384 -118.723503113 17.75 46.3724273625 81.0726036538
41.9665985107 -96.3761978149 16.95 48.6051933919 99.9230487313 34.1714096069 -118.18522644 18.05 46.9999850171 81.1735798293
42.0628013611 -91.2218017578 -29.95 49.8944206802 103.550929963 34.1714096069 -118.18522644 18.05 46.9999850171 81.1735798293
47.8480987549 -99.602897644 22.75 42.1901069186 100.082146352 34.8753318787 -116.996841431 16.35 46.9960158587 82.3802166317
40.8611984253 -95.6424026489 17.55 49.8570765093 100.020096268 33.9954299927 -119.635101318 17.85 46.4225490369 80.098704376
40.7930984497 -93.2350006104 15.95 50.5954302804 101.698266168 33.5525894165 -117.661712646 18.75 47.7656748769 81.1693297062
40.707698822 -90.8552017212 22.95 51.3056622814 103.370214547 33.457698822 -117.170799255 9.35 48.0834498403 81.4501301281
39.6248016357 -93.5320968628 16.45 51.6291970114 101.073528573 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
39.529800415 -92.0483016968 17.15 52.1299750654 102.114611889 34.1064682007 -117.098220825 18.55 47.5821926591 81.8710971312
39.6408996582 -89.5213012695 16.95 52.6857340765 103.993955818 33.4948005676 -116.602203369 18.55 48.3275326076 81.8613707211
48.3602981567 -93.7260971069 14.75 43.1623740092 103.935257006 34.3334083557 -118.025848389 18.55 46.9450683151 81.3750980359
47.1355018616 -97.0164031982 22.75 43.5454046217 101.42870271 36.4398803711 -118.080162048 16.05 45.1946672415 82.5684744967
46.6058006287 -91.5541992188 15.75 45.36778148 104.769759992 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
43.7336997986 -96.6140975952 17.25 46.873057548 100.425362833 33.6500091553 -117.009468079 18.45 48.0025057689 81.6704903645
43.7336997986 -96.6140975952 17.15 46.873057548 100.425362833 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
47.9462013245 -91.495300293 16.65 44.0578590282 105.220246759 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
47.9462013245 -91.495300293 16.65 44.0578590282 105.220246759 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
45.8398017883 -96.2929000854 22.95 44.9643603973 101.417290117 33.0514907837 -114.827056885 18.15 49.5400143288 82.8451311417
45.8618011475 -93.5241012573 15.25 45.6384764726 103.236257157 34.7845687866 -115.659942627 16.75 47.7022815072 83.2336092534
38.3813438416 -88.3896484375 16.95 54.2071025865 104.434063565 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
45.2683982849 -90.2005996704 15.95 46.9879715646 105.259072258 35.6627807617 -118.474029541 17.85 45.6389439909 81.8543312526
40.5559005737 -89.2939987183 17.75 51.8458821437 104.447326507 33.714099884 -116.711898804 17.85 48.0928854203 81.9106701386
